Scenario,Middleware,Total,Delivered,LossRate,DupRate,ExtraCopiesPerMsg,LatencyMeanMs,LatencyP95Ms,ThroughputMsgS,CPUPercent,MemPeakMB,DurationS,RecoveryMeanS,ReplicaDivergenceRate
flapping,Circuit Breaker,200,166,0.1700,0.0000,0.0000,7.261,8.928,47.706,0.86,53.54,3.480,,
flapping,Replicação Ativa,200,199,0.0050,0.9050,1.3850,8.747,16.281,31.362,1.26,53.54,6.345,,0.5176
flapping,Pipeline por Estágios,200,200,0.0000,0.0000,0.0000,484.600,3169.915,47.372,0.95,53.54,4.222,,
outage,Circuit Breaker,200,115,0.4250,0.0000,0.0000,7.233,9.043,39.543,1.03,53.54,2.908,,
outage,Replicação Ativa,200,135,0.3250,0.6700,1.3400,7.297,9.104,21.148,1.41,53.54,6.384,,0.0074
outage,Pipeline por Estágios,200,200,0.0000,0.0000,0.0000,8.441,10.123,53.485,1.07,53.54,3.739,,
slow,Circuit Breaker,200,115,0.4250,0.0000,0.0000,7.234,9.048,32.471,1.13,53.54,3.542,,
slow,Replicação Ativa,200,0,1.0000,0.0000,0.0000,0.000,0.000,0.000,0.09,53.54,80.314,,0.0000
slow,Pipeline por Estágios,200,0,1.0000,0.0000,0.0000,0.000,0.000,0.000,0.19,53.54,31.374,,
