Scenario,Middleware,Total,Delivered,LossRate,DupRate,ExtraCopiesPerMsg,LatencyMeanMs,LatencyP95Ms,ThroughputMsgS,CPUPercent,MemPeakMB,DurationS,RecoveryMeanS,ReplicaDivergenceRate
flapping,Circuit Breaker,200,166,0.1700,0.0000,0.0000,7.257,8.951,47.706,0.86,53.59,3.480,,
flapping,Replicação Ativa,200,199,0.0050,0.9050,1.3850,8.722,16.304,31.417,0.79,53.72,6.334,,0.5176
flapping,Pipeline por Estágios,200,200,0.0000,0.0000,0.0000,483.282,3164.806,47.460,0.95,53.72,4.214,,
outage,Circuit Breaker,200,115,0.4250,0.0000,0.0000,7.211,8.973,39.583,0.69,53.72,2.905,,
outage,Replicação Ativa,200,135,0.3250,0.6700,1.3400,7.259,9.084,21.240,0.79,53.72,6.356,,0.0074
outage,Pipeline por Estágios,200,200,0.0000,0.0000,0.0000,8.329,10.069,53.990,0.54,53.72,3.704,,
slow,Circuit Breaker,200,115,0.4250,0.0000,0.0000,7.214,8.978,32.562,0.85,53.72,3.532,,
slow,Replicação Ativa,200,0,1.0000,0.0000,0.0000,0.000,0.000,0.000,0.07,53.72,80.308,,0.0000
slow,Pipeline por Estágios,200,0,1.0000,0.0000,0.0000,0.000,0.000,0.000,0.16,53.72,31.383,,
