Scenario,Middleware,Total,Delivered,LossRate,DupRate,ExtraCopiesPerMsg,LatencyMeanMs,LatencyP95Ms,ThroughputMsgS,CPUPercent,MemPeakMB,DurationS,RecoveryMeanS,ReplicaDivergenceRate
flapping,Circuit Breaker,200,166,0.1700,0.0000,0.0000,7.266,8.931,47.680,0.57,53.08,3.482,,
flapping,Replicação Ativa,200,199,0.0050,0.9050,1.3850,8.715,16.168,31.373,0.95,53.08,6.343,,0.5176
flapping,Pipeline por Estágios,200,200,0.0000,0.0000,0.0000,483.367,3164.676,47.451,0.71,53.23,4.215,,
outage,Circuit Breaker,200,115,0.4250,0.0000,0.0000,7.211,8.950,39.586,0.69,53.23,2.905,,
outage,Replicação Ativa,200,135,0.3250,0.6700,1.3400,7.261,9.051,21.229,0.79,53.23,6.359,,0.0074
outage,Pipeline por Estágios,200,200,0.0000,0.0000,0.0000,8.327,10.082,53.989,1.08,53.23,3.704,,
slow,Circuit Breaker,200,115,0.4250,0.0000,0.0000,7.228,9.001,32.561,0.57,53.23,3.532,,
slow,Replicação Ativa,200,0,1.0000,0.0000,0.0000,0.000,0.000,0.000,0.10,53.23,80.306,,0.0000
slow,Pipeline por Estágios,200,0,1.0000,0.0000,0.0000,0.000,0.000,0.000,0.13,53.23,31.376,,
