Scenario,Middleware,Total,Delivered,LossRate,DupRate,ExtraCopiesPerMsg,LatencyMeanMs,LatencyP95Ms,ThroughputMsgS,CPUPercent,MemPeakMB,DurationS,RecoveryMeanS,ReplicaDivergenceRate
flapping,Circuit Breaker,200,166,0.1700,0.0000,0.0000,7.253,8.936,47.720,0.57,53.54,3.479,,
flapping,Replicação Ativa,200,199,0.0050,0.9050,1.3850,8.715,16.152,31.449,0.79,53.54,6.328,,0.5176
flapping,Pipeline por Estágios,200,200,0.0000,0.0000,0.0000,483.534,3165.710,47.438,1.19,53.54,4.216,,
outage,Circuit Breaker,200,115,0.4250,0.0000,0.0000,7.211,8.969,39.550,0.34,53.54,2.908,,
outage,Replicação Ativa,200,135,0.3250,0.6700,1.3400,7.256,9.054,21.243,0.94,53.54,6.355,,0.0074
outage,Pipeline por Estágios,200,200,0.0000,0.0000,0.0000,8.325,10.057,53.985,0.81,53.54,3.705,,
slow,Circuit Breaker,200,115,0.4250,0.0000,0.0000,7.211,9.005,32.555,0.85,53.54,3.532,,
slow,Replicação Ativa,200,0,1.0000,0.0000,0.0000,0.000,0.000,0.000,0.07,53.54,80.302,,0.0000
slow,Pipeline por Estágios,200,0,1.0000,0.0000,0.0000,0.000,0.000,0.000,0.13,53.54,31.378,,
