Scenario,Middleware,Total,Delivered,LossRate,DupRate,ExtraCopiesPerMsg,LatencyMeanMs,LatencyP95Ms,ThroughputMsgS,CPUPercent,MemPeakMB,DurationS,RecoveryMeanS,ReplicaDivergenceRate
flapping,Circuit Breaker,200,166,0.1700,0.0000,0.0000,7.345,9.082,47.187,1.71,53.68,3.518,,
flapping,Replicação Ativa,200,199,0.0050,0.9050,1.3850,8.770,16.575,31.279,1.26,53.68,6.362,,0.5176
flapping,Pipeline por Estágios,200,200,0.0000,0.0000,0.0000,483.355,3164.895,47.427,1.19,53.68,4.217,,
outage,Circuit Breaker,200,115,0.4250,0.0000,0.0000,7.213,9.040,39.547,1.03,53.68,2.908,,
outage,Replicação Ativa,200,135,0.3250,0.6750,1.3450,7.228,9.075,21.213,1.10,53.68,6.364,,0.0074
outage,Pipeline por Estágios,200,200,0.0000,0.0000,0.0000,8.374,10.148,53.815,1.35,53.68,3.716,,
slow,Circuit Breaker,200,115,0.4250,0.0000,0.0000,7.227,9.056,32.551,0.85,53.68,3.533,,
slow,Replicação Ativa,200,0,1.0000,0.0000,0.0000,0.000,0.000,0.000,0.10,53.68,80.313,,0.0000
slow,Pipeline por Estágios,200,0,1.0000,0.0000,0.0000,0.000,0.000,0.000,0.16,53.68,31.414,,
